ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_21361703-S	3.14e-09	5.11e-10	6.388.089	1.228.918	0.5049554	MTPAP	mitochondrial poly(A) polymerase
GI_31341428-S	3.16e-09	5.16e-10	638.662	1.228.081	0.3425821	LEMD2	LEM domain containing 2
GI_16554588-A	3.27e-09	5.34e-10	6.380.838	1.224.788	0.2742033	CTDP1	CTD phosphatase subunit 1
GI_24308353-S	3.27e-09	5.34e-10	-6.380.764	1.224.745	-0.3284609	C16orf45	chromosome 16 open reading frame 45
GI_31341283-S	3.33e-09	5.45e-10	-6.377.338	1.222.795	-0.4257289	TDRP	testis development related protein
GI_27477073-A	3.33e-09	5.45e-10	6.377.275	1.222.759	0.4532045	IL17RB	interleukin 17 receptor B
GI_34147654-S	3.33e-09	5.45e-10	-6.377.248	1.222.744	-0.3321772	RAB3A	RAB3A, member RAS oncogene family
GI_45238847-S	3.35e-09	5.48e-10	-6.376.259	1.222.181	-0.4138985	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha
GI_4505224-S	3.38e-09	5.54e-10	-637.434	1.221.089	-0.3092986	MNAT1	MNAT1, CDK activating kinase assembly factor
GI_18034689-S	3.43e-09	5.63e-10	6.371.817	1.219.654	0.2082766	AAR2	AAR2 splicing factor homolog
GI_9845488-A	3.49e-09	5.73e-10	6.368.546	1.217.794	0.3345954	MARK2	microtubule affinity regulating kinase 2
GI_42476062-S	3.53e-09	5.79e-10	6.366.867	121.684	0.4650616	PXDC1	PX domain containing 1
GI_21361071-S	3.56e-09	5.85e-10	6.365.173	1.215.877	0.3286049	RGL2	ral guanine nucleotide dissociation stimulator like 2
GI_40353209-S	3.57e-09	5.87e-10	6.364.588	1.215.544	0.5210915	ALKBH5	alkB homolog 5, RNA demethylase
GI_7705974-S	3.72e-09	6.12e-10	6.357.464	1.211.498	0.4637069	ZNF219	zinc finger protein 219
GI_7657674-S	3.76e-09	6.19e-10	-635.559	1.210.434	-0.3731619	VAMP2	vesicle associated membrane protein 2
GI_4502358-S	3.76e-09	6.21e-10	-6.355.061	1.210.134	-0.4236242	ADGRB3	adhesion G protein-coupled receptor B3
GI_38348359-S	3.77e-09	6.22e-10	-6.354.801	1.209.986	-0.2532569	HDDC3	HD domain containing 3
GI_6042206-S	3.77e-09	6.23e-10	-6.354.402	120.976	-0.34201	RAN	RAN, member RAS oncogene family
GI_45593148-A	3.83e-09	6.33e-10	6.351.705	1.208.229	0.5877819	ADD3	adducin 3
GI_7706752-S	3.84e-09	6.34e-10	-6.351.377	1.208.044	-0.4395492	UCHL5	ubiquitin C-terminal hydrolase L5
GI_7706350-S	3.85e-09	6.37e-10	-6.350.672	1.207.644	-0.2542372	PTRH2	peptidyl-tRNA hydrolase 2
GI_14149901-S	3.85e-09	6.37e-10	6.350.593	1.207.599	0.3035517	C19orf44	chromosome 19 open reading frame 44
GI_21464122-S	3.90e-09	6.47e-10	6.348.041	1.206.151	0.3750851		
GI_34222093-S	3.91e-09	6.48e-10	6.347.718	1.205.968	0.4178904	ELF1	E74 like ETS transcription factor 1
GI_9845486-A	3.95e-09	6.56e-10	6.345.617	1.204.777	0.3325152	MARK2	microtubule affinity regulating kinase 2
GI_22095330-S	3.96e-09	6.58e-10	-6.344.999	1.204.427	-0.1710748	EMC1	ER membrane protein complex subunit 1
GI_5174700-S	3.96e-09	6.59e-10	6.344.944	1.204.396	0.7642871	STK10	serine/threonine kinase 10
GI_18105038-S	3.97e-09	6.61e-10	-6.344.337	1.204.051	-0.273281	COX7B	cytochrome c oxidase subunit 7B
GI_31543618-S	3.97e-09	6.61e-10	6.344.301	1.204.031	0.1976345	SRSF1	serine and arginine rich splicing factor 1
GI_28416943-S	3.98e-09	6.64e-10	6.343.639	1.203.656	0.2175062	SSRP1	structure specific recognition protein 1
GI_22547155-S	3.99e-09	6.65e-10	6.343.388	1.203.513	0.2537834	FLII	FLII, actin remodeling protein
GI_7657325-S	4.01e-09	6.69e-10	-634.219	1.202.834	-0.2708388	MEA1	male-enhanced antigen 1
GI_21361267-S	4.04e-09	6.73e-10	6.341.118	1.202.227	0.2853342	TNIP1	TNFAIP3 interacting protein 1
GI_17738314-S	4.05e-09	6.77e-10	6.340.302	1.201.765	0.2671534	CCNI	cyclin I
GI_4503744-S	4.11e-09	6.87e-10	6.337.776	1.200.334	0.4107841	FLNA	filamin A
GI_20127459-S	4.14e-09	6.93e-10	633.626	1.199.476	0.3035902	XPC	XPC complex subunit, DNA damage recognition and repair factor
GI_31341159-S	4.14e-09	6.94e-10	633.609	1.199.379	0.2737512	YIPF6	Yip1 domain family member 6
GI_21464140-I	4.16e-09	6.97e-10	-6.335.297	1.198.931	-0.4634739	AKAP11	A-kinase anchoring protein 11
GI_7662295-S	4.17e-09	6.99e-10	6.334.654	1.198.566	0.3062811	FCHSD2	FCH and double SH3 domains 2
GI_42734322-S	4.17e-09	7.00e-10	6.334.554	119.851	0.2630563	ZSWIM8	zinc finger SWIM-type containing 8
GI_42544175-A	4.22e-09	7.08e-10	6.332.446	1.197.317	0.2306285	ELF2	E74 like ETS transcription factor 2
GI_25453477-S	4.23e-09	7.10e-10	6.332.165	1.197.158	0.3280148	EEF2K	eukaryotic elongation factor 2 kinase
GI_30474872-A	4.27e-09	7.18e-10	6.330.147	1.196.015	0.3700116		
GI_41281538-S	4.28e-09	7.20e-10	6.329.728	1.195.779	0.4774722	RHOBTB3	Rho related BTB domain containing 3
GI_42519913-S	4.34e-09	7.30e-10	632.722	119.436	0.3080514	STAT5B	signal transducer and activator of transcription 5B
GI_20149694-S	4.36e-09	7.34e-10	6.326.359	1.193.873	0.4343012	REEP4	receptor accessory protein 4
GI_4755143-S	4.36e-09	7.35e-10	6.326.133	1.193.745	0.3126671	IRAK1	interleukin 1 receptor associated kinase 1
GI_34577119-S	4.45e-09	7.51e-10	6.322.534	1.191.711	0.343709	MTRF1	mitochondrial translational release factor 1
GI_4504140-S	4.54e-09	7.67e-10	6.318.867	1.189.638	0.9799834	GRM4	glutamate metabotropic receptor 4
GI_4885538-S	4.60e-09	7.78e-10	-6.316.485	1.188.292	-0.4901449	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
GI_21361953-S	4.63e-09	7.83e-10	6.315.238	1.187.588	0.3914454	RNF170	ring finger protein 170
GI_31340555-S	4.65e-09	7.86e-10	631.469	1.187.279	0.6806991	RSAD2	radical S-adenosyl methionine domain containing 2
GI_34916055-I	4.65e-09	7.87e-10	-6.314.413	1.187.123	-0.3802278	KLC1	kinesin light chain 1
GI_34452696-A	4.71e-09	7.98e-10	-6.312.051	1.185.789	-0.3650849	ASIC2	acid sensing ion channel subunit 2
GI_28372558-S	4.77e-09	8.09e-10	-6.309.674	1.184.447	-0.5353808	TCERG1L	transcription elongation regulator 1 like
GI_36054193-S	4.79e-09	8.12e-10	6.309.032	1.184.085	0.2090873	ZNF384	zinc finger protein 384
GI_39995073-A	4.79e-09	8.13e-10	-6.308.821	1.183.966	-0.2988585	CDKN2D	cyclin dependent kinase inhibitor 2D
GI_42656660-S	4.89e-09	8.30e-10	6.305.219	1.181.934	0.453051		
GI_34147660-S	4.92e-09	8.37e-10	6.303.941	1.181.213	0.2547336	SRSF4	serine and arginine rich splicing factor 4
GI_13443032-A	4.96e-09	8.43e-10	6.302.651	1.180.486	0.2966937	SMPD4	sphingomyelin phosphodiesterase 4
GI_7705880-S	4.97e-09	8.46e-10	6.302.037	118.014	0.232616	ZNF580	zinc finger protein 580
GI_37541618-S	5.00e-09	8.52e-10	-6.300.889	1.179.493	-0.6330055		
GI_34147424-A	5.10e-09	8.69e-10	6.297.471	1.177.566	0.3461864		
GI_4809277-A	5.18e-09	8.84e-10	-6.294.432	1.175.854	-0.2578105	ANXA7	annexin A7
GI_5730086-S	5.20e-09	8.87e-10	-6.293.892	117.555	-0.4914676	DYNLT3	dynein light chain Tctex-type 3
GI_24308072-S	5.26e-09	8.99e-10	6.291.608	1.174.264	0.1905341	PTPN23	protein tyrosine phosphatase, non-receptor type 23
GI_6912507-S	5.40e-09	9.23e-10	-6.286.958	1.171.647	-0.6289177	MMD	monocyte to macrophage differentiation associated
GI_4504918-S	5.41e-09	9.25e-10	6.286.697	11.715	0.4989411	KRT8	keratin 8
GI_5174408-S	5.43e-09	9.28e-10	-6.286.014	1.171.116	-0.3881794	CD2BP2	CD2 cytoplasmic tail binding protein 2
GI_38176295-I	5.45e-09	9.34e-10	6.285.077	1.170.588	0.4062125	CERS1	ceramide synthase 1
GI_31982866-S	5.45e-09	9.35e-10	6.284.853	1.170.462	0.3206179	PINX1	PIN2/TERF1 interacting, telomerase inhibitor 1
GI_41529828-S	5.55e-09	9.52e-10	-6.281.774	1.168.731	-0.332135		
GI_24307912-S	5.59e-09	9.59e-10	6.280.513	1.168.022	0.4976348	ZNF234	zinc finger protein 234
GI_14149666-S	5.61e-09	9.63e-10	6.279.689	1.167.558	0.3583668	SARM1	sterile alpha and TIR motif containing 1
GI_8922821-S	5.67e-09	9.74e-10	-6.277.724	1.166.454	-0.2997972	UBE2W	ubiquitin conjugating enzyme E2 W (putative)
GI_13162281-S	5.67e-09	9.75e-10	-627.765	1.166.412	-0.420659	STS	steroid sulfatase (microsomal), isozyme S
GI_5729867-S	5.69e-09	9.80e-10	-6.276.714	1.165.886	-0.1667465	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
GI_34850073-S	5.73e-09	9.87e-10	-6.275.458	1.165.181	-0.363604	GLOD4	glyoxalase domain containing 4
GI_14670393-I	5.74e-09	9.89e-10	6.275.095	1.164.977	0.1866581	DEDD	death effector domain containing
GI_19923722-S	5.79e-09	9.98e-10	-6.273.552	116.411	-0.2490611	RPS6KC1	ribosomal protein S6 kinase C1
GI_8922643-A	5.82e-09	1.00e-09	-6.272.599	1.163.574	-0.3470828	LRRC20	leucine rich repeat containing 20
GI_23510363-A	5.94e-09	1.03e-09	626.879	1.161.435	0.22594	FYN	FYN proto-oncogene, Src family tyrosine kinase
GI_20127661-S	5.99e-09	1.03e-09	6.267.347	1.160.625	0.4217042	TP53INP1	tumor protein p53 inducible nuclear protein 1
GI_7661719-S	5.99e-09	1.04e-09	-6.267.243	1.160.567	-0.2708972	NFU1	NFU1 iron-sulfur cluster scaffold
GI_11968050-S	6.02e-09	1.04e-09	6.266.041	1.159.893	0.2822232	NARFL	nuclear prelamin A recognition factor like
GI_18426889-S	6.02e-09	1.04e-09	-6.266.002	1.159.871	-0.4833658		
GI_4758771-S	6.04e-09	1.05e-09	-6.265.246	1.159.446	-0.2855163	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3
GI_28144896-A	6.08e-09	1.05e-09	-6.264.232	1.158.878	-0.9543318	AK5	adenylate kinase 5
GI_20070124-S	6.12e-09	1.06e-09	6.262.896	1.158.128	0.2588684	P4HB	prolyl 4-hydroxylase subunit beta
GI_34996526-S	6.20e-09	1.08e-09	626.053	1.156.801	0.3685561	RPS19BP1	ribosomal protein S19 binding protein 1
GI_6857798-S	6.21e-09	1.08e-09	-6.260.218	1.156.626	-0.491731	PGRMC1	progesterone receptor membrane component 1
GI_42660799-S	6.21e-09	1.08e-09	6.260.047	115.653	0.50046		
GI_34147323-S	6.23e-09	1.08e-09	-625.934	1.156.133	-0.5364153	SERPINE2	serpin family E member 2
GI_22748930-S	6.30e-09	1.10e-09	-6.257.207	1.154.938	-0.3085593	FBXL14	F-box and leucine rich repeat protein 14
GI_32307143-S	6.33e-09	1.10e-09	6.256.349	1.154.457	0.3489622	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
GI_40353206-S	6.53e-09	1.14e-09	6.250.886	1.151.396	0.2928022	MRGBP	MRG/MORF4L binding protein
GI_27734886-S	6.64e-09	1.16e-09	-6.247.931	1.149.741	-0.2426974	RPUSD3	RNA pseudouridylate synthase domain containing 3
GI_13027603-S	6.65e-09	1.16e-09	6.247.502	1.149.501	0.2267621	MRPS34	mitochondrial ribosomal protein S34
GI_45359866-S	6.67e-09	1.16e-09	-6.246.884	1.149.155	-0.646956	NAP1L3	nucleosome assembly protein 1 like 3
GI_19923214-S	6.68e-09	1.17e-09	-6.246.425	1.148.898	-0.4942547	MEF2C	myocyte enhancer factor 2C
GI_41349452-S	6.71e-09	1.17e-09	6.245.543	1.148.404	0.6509207	PRELP	proline and arginine rich end leucine rich repeat protein
GI_18491025-A	6.73e-09	1.18e-09	6.244.838	114.801	0.3104452	DPP3	dipeptidyl peptidase 3
GI_33620720-S	6.95e-09	1.22e-09	623.926	1.144.889	0.2927268	DEXI	Dexi homolog
GI_34335245-A	6.97e-09	1.22e-09	6.238.674	1.144.562	0.2238105	NUP62	nucleoporin 62
GI_40789269-S	6.97e-09	1.22e-09	623.856	1.144.498	0.3236755	ZNF573	zinc finger protein 573
GI_19913359-S	6.99e-09	1.23e-09	6.237.779	1.144.061	0.5615924	TBL1X	transducin (beta)-like 1X-linked
GI_41327706-S	7.00e-09	1.23e-09	6.237.445	1.143.874	0.4302214		
GI_32490556-S	7.03e-09	1.24e-09	6.236.589	1.143.396	0.3955896	PAPOLA	poly(A) polymerase alpha
GI_8924082-S	7.10e-09	1.25e-09	6.234.893	1.142.448	0.5652814		
GI_21328445-S	7.16e-09	1.26e-09	6.233.321	1.141.569	0.4747934	LIPE	lipase E, hormone sensitive type
GI_38683864-A	7.16e-09	1.26e-09	6.233.095	1.141.443	0.4187879	RBBP6	RB binding protein 6, ubiquitin ligase
GI_13376330-S	7.16e-09	1.26e-09	6.233.089	1.141.439	0.317307	L2HGDH	L-2-hydroxyglutarate dehydrogenase
GI_13899218-S	7.17e-09	1.26e-09	-6.232.654	1.141.197	-0.3599747	GABARAPL1	GABA type A receptor associated protein like 1
GI_24431942-S	7.18e-09	1.27e-09	-6.232.417	1.141.064	-0.5356069	PDE1B	phosphodiesterase 1B
GI_22749412-S	7.24e-09	1.28e-09	6.230.831	1.140.178	0.440285	TBATA	thymus, brain and testes associated
GI_42661660-S	7.26e-09	1.28e-09	-6.230.057	1.139.745	-0.5437263		
GI_14249467-I	7.47e-09	1.32e-09	6.225.174	1.137.019	0.4645883	SLC44A4	solute carrier family 44 member 4
GI_24475963-S	7.48e-09	1.32e-09	-6.224.694	1.136.751	-0.2920195	EMC4	ER membrane protein complex subunit 4
GI_32528304-I	7.53e-09	1.33e-09	-6.223.569	1.136.123	-0.355147	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
GI_34303919-S	7.53e-09	1.33e-09	6.223.457	1.136.061	0.371262	LRFN4	leucine rich repeat and fibronectin type III domain containing 4
GI_13027637-S	7.54e-09	1.34e-09	-6.223.125	1.135.875	-0.3808773	UGP2	UDP-glucose pyrophosphorylase 2
GI_31742495-S	7.54e-09	1.34e-09	-6.222.871	1.135.733	-0.4736651	DUS4L	dihydrouridine synthase 4 like
GI_22035664-S	7.59e-09	1.35e-09	-6.221.737	1.135.101	-0.3647418	TLN2	talin 2
GI_12751492-S	7.67e-09	1.36e-09	-6.219.713	1.133.971	-0.5800205	PYCRL	pyrroline-5-carboxylate reductase-like
GI_16950602-S	7.68e-09	1.36e-09	-6.219.438	1.133.818	-0.20774	MRPS35	mitochondrial ribosomal protein S35
GI_42659631-S	7.85e-09	1.40e-09	6.215.491	1.131.616	0.5446039		
GI_23680884-S	7.87e-09	1.40e-09	621.492	1.131.298	0.569601	PIGX	phosphatidylinositol glycan anchor biosynthesis class X
GI_7706602-S	7.90e-09	1.41e-09	6.214.073	1.130.826	0.2716503	HSFX1	heat shock transcription factor family, X-linked 1
GI_7662650-S	7.99e-09	1.42e-09	6.212.118	1.129.737	0.3649163	RGCC	regulator of cell cycle
GI_20070108-I	7.99e-09	1.42e-09	6.211.957	1.129.647	0.4279257	DAB2IP	DAB2 interacting protein
GI_21070966-A	8.00e-09	1.43e-09	-621.156	1.129.426	-0.4918778	NRXN1	neurexin 1
GI_17865796-A	8.18e-09	1.46e-09	-6.207.665	1.127.255	-0.2562502	TM2D2	TM2 domain containing 2
GI_38016948-A	8.20e-09	1.47e-09	6.207.042	1.126.909	0.1908889	ASTN2	astrotactin 2
GI_27477128-S	8.26e-09	1.48e-09	6.205.601	1.126.106	0.6220359	MC1R	melanocortin 1 receptor
GI_15147332-S	8.31e-09	1.49e-09	-6.204.616	1.125.557	-0.4304324	TRIM37	tripartite motif containing 37
GI_33519464-S	8.35e-09	1.49e-09	-6.203.665	1.125.028	-0.2388274	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8
GI_13435144-S	8.37e-09	1.50e-09	6.203.083	1.124.705	0.4951187	CLUAP1	clusterin associated protein 1
GI_42661599-S	8.42e-09	1.51e-09	6.201.923	1.124.059	0.6334954		
GI_34335183-I	8.44e-09	1.51e-09	6.201.322	1.123.724	0.428426	FLCN	folliculin
GI_14702185-A	8.45e-09	1.52e-09	6.200.965	1.123.525	0.5963568	LAT2	linker for activation of T-cells family member 2
GI_32189393-S	8.46e-09	1.52e-09	-6.200.796	1.123.431	-0.2004898	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
GI_27754193-S	8.72e-09	1.57e-09	6.195.274	1.120.359	0.493316		
GI_42658645-S	8.72e-09	1.57e-09	6.195.247	1.120.345	0.2624249		
GI_29729561-S	8.75e-09	1.58e-09	6.194.454	1.119.904	0.2984059		
GI_37552347-S	8.93e-09	1.61e-09	6.190.858	1.117.905	0.3562947	GPR108	G protein-coupled receptor 108
GI_31341683-S	8.96e-09	1.61e-09	-6.190.188	1.117.533	-0.2975912	NRBP2	nuclear receptor binding protein 2
GI_37546220-S	8.98e-09	1.62e-09	-6.189.577	1.117.193	-0.679763	PCDH19	protocadherin 19
GI_20127543-S	8.98e-09	1.62e-09	-6.189.544	1.117.175	-0.3090388	MEMO1	mediator of cell motility 1
GI_17978465-S	8.99e-09	1.62e-09	6.189.327	1.117.054	0.618612	CCNT1	cyclin T1
GI_37550278-S	9.00e-09	1.63e-09	6.188.943	111.684	0.453752	MAP3K1	mitogen-activated protein kinase kinase kinase 1
GI_14165460-I	9.02e-09	1.63e-09	6.188.443	1.116.563	0.7377136	NARF	nuclear prelamin A recognition factor
GI_31341865-S	9.10e-09	1.65e-09	-6.186.861	1.115.684	-0.2290473	INAFM1	InaF motif containing 1
GI_4503264-S	9.14e-09	1.66e-09	6.185.855	1.115.125	0.4203084	DBT	dihydrolipoamide branched chain transacylase E2
GI_4507546-S	9.19e-09	1.66e-09	-6.184.905	1.114.598	-0.3819097	TM7SF2	transmembrane 7 superfamily member 2
GI_38158021-A	9.26e-09	1.68e-09	6.183.405	1.113.765	0.3983155	DHX34	DEAH-box helicase 34
GI_19923365-S	9.36e-09	1.70e-09	6.181.401	1.112.652	0.4145327	HPSE	heparanase
GI_21450855-A	9.47e-09	1.72e-09	6.179.251	1.111.459	0.1650279		
GI_4503580-S	9.65e-09	1.75e-09	-617.578	1.109.534	-0.3994828	DMTN	dematin actin binding protein
GI_20143950-I	9.76e-09	1.77e-09	-617.373	1.108.396	-0.3713241	ITGB1BP1	integrin subunit beta 1 binding protein 1
GI_7657348-S	9.81e-09	1.78e-09	6.172.735	1.107.845	0.2875608		
GI_12383050-S	9.84e-09	1.79e-09	-6.172.105	1.107.495	-0.3910795	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2
GI_17738286-S	9.98e-09	1.82e-09	6.169.561	1.106.085	0.2454101	SCAMP4	secretory carrier membrane protein 4
GI_34328935-S	1.01e-08	1.84e-09	6.167.541	1.104.966	0.5678383	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide
GI_21464104-S	1.01e-08	1.84e-09	6.167.305	1.104.835	0.4178731	YY1	YY1 transcription factor
GI_40255239-S	1.03e-08	1.88e-09	6.163.759	1.102.871	0.3664607	BSDC1	BSD domain containing 1
GI_7705856-S	1.04e-08	1.89e-09	6.162.486	1.102.166	0.5918094		
GI_31982907-S	1.05e-08	1.91e-09	6.160.554	1.101.097	0.3466704	JDP2	Jun dimerization protein 2
GI_21536317-S	1.05e-08	1.93e-09	6.159.517	1.100.523	0.2613606	DPF2	double PHD fingers 2
GI_22027526-I	1.07e-08	1.96e-09	6.156.017	1.098.586	0.2032739	ARHGEF7	Rho guanine nucleotide exchange factor 7
GI_22547188-A	1.07e-08	1.96e-09	6.155.986	1.098.569	0.3295947	SHMT1	serine hydroxymethyltransferase 1
GI_27477044-A	1.07e-08	1.96e-09	-615.596	1.098.554	-0.3363968	MCAT	malonyl-CoA-acyl carrier protein transacylase
GI_13376291-S	1.08e-08	1.97e-09	6.155.097	1.098.077	0.7802928	FBXO38	F-box protein 38
GI_23110933-A	1.08e-08	1.98e-09	-615.486	1.097.946	-0.3037739	PSMA1	proteasome subunit alpha 1
GI_32130529-A	1.08e-08	1.98e-09	6.154.703	1.097.859	0.529958		
GI_16554591-A	1.09e-08	2.00e-09	6.153.226	1.097.042	0.4587942	ENO3	enolase 3
GI_42476168-S	1.10e-08	2.02e-09	6.150.833	1.095.719	0.2110902	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component
GI_37543875-S	1.12e-08	2.06e-09	6.147.883	1.094.088	0.3842389	TMEM132C	transmembrane protein 132C
GI_4826685-S	1.12e-08	2.06e-09	-6.147.489	1.093.871	-0.2200255	DDX1	DEAD/H-box helicase 1
GI_38045937-S	1.12e-08	2.07e-09	6.147.123	1.093.668	0.3311975	RNF144A	ring finger protein 144A
GI_37551029-S	1.12e-08	2.07e-09	614.699	1.093.595	0.2818608	FAM171A1	family with sequence similarity 171 member A1
GI_37595529-A	1.13e-08	2.07e-09	6.146.415	1.093.277	0.2387879	PHC2	polyhomeotic homolog 2
GI_21450795-S	1.14e-08	2.10e-09	614.472	1.092.341	0.5964832	TMEM106A	transmembrane protein 106A
GI_18591447-S	1.14e-08	2.10e-09	6.144.467	1.092.201	0.7422907		
GI_42656948-S	1.14e-08	2.10e-09	6.144.057	1.091.974	0.4752528		
GI_26638656-S	1.14e-08	2.11e-09	-6.143.534	1.091.686	-0.1941815	MRPL20	mitochondrial ribosomal protein L20
GI_34335283-I	1.17e-08	2.16e-09	-6.139.366	1.089.384	-0.4275904	OLFM1	olfactomedin 1
GI_41201006-S	1.18e-08	2.19e-09	6.137.098	1.088.132	0.4048312	OR56A5	olfactory receptor family 56 subfamily A member 5
GI_21264354-S	1.18e-08	2.19e-09	6.136.592	1.087.853	0.285751	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
GI_30795181-A	1.20e-08	2.23e-09	6.134.116	1.086.487	0.149484	ZFYVE1	zinc finger FYVE-type containing 1
GI_7705416-S	1.20e-08	2.23e-09	6.133.975	108.641	0.4776229	HP1BP3	heterochromatin protein 1 binding protein 3
GI_42734324-S	1.21e-08	2.24e-09	6.133.062	1.085.906	0.3908593	WAPL	WAPL cohesin release factor
GI_27765095-A	1.21e-08	2.25e-09	6.132.202	1.085.431	0.3794174	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
GI_4502300-S	1.22e-08	2.27e-09	-613.052	1.084.504	-0.3285646	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)
GI_39725692-S	1.24e-08	2.30e-09	6.128.014	1.083.123	0.3607144	NECAP2	NECAP endocytosis associated 2
GI_7656945-S	1.25e-08	2.33e-09	-6.125.825	1.081.916	-0.3262126	SLC30A9	solute carrier family 30 member 9
GI_38524615-S	1.28e-08	2.39e-09	612.155	1.079.561	0.3675213	SLC27A1	solute carrier family 27 member 1
GI_18375674-I	1.28e-08	2.39e-09	6.121.406	1.079.482	0.618635	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)
GI_40217822-S	1.29e-08	2.40e-09	-6.120.868	1.079.186	-0.4855632	SLITRK5	SLIT and NTRK like family member 5
GI_21536456-S	1.29e-08	2.41e-09	-6.120.378	1.078.916	-0.4527242	MOAP1	modulator of apoptosis 1
GI_21389426-S	1.31e-08	2.45e-09	611.713	1.077.128	0.4954637	GABPB2	GA binding protein transcription factor beta subunit 2
GI_21536460-S	1.33e-08	2.49e-09	6.114.689	1.075.784	0.5184917	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
GI_24308387-S	1.34e-08	2.50e-09	-6.113.462	1.075.109	-0.2017275	TSR2	TSR2, ribosome maturation factor
GI_5174472-S	1.35e-08	2.53e-09	6.111.757	1.074.172	0.4355852	IPP	intracisternal A particle-promoted polypeptide
GI_18375502-A	1.36e-08	2.54e-09	-6.110.805	1.073.648	-0.1579487	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
GI_42542401-A	1.36e-08	2.55e-09	611.025	1.073.343	0.2760447	LRRC23	leucine rich repeat containing 23
GI_25952117-A	1.38e-08	2.58e-09	-6.108.147	1.072.187	-0.9040434	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
GI_40254856-S	1.40e-08	2.62e-09	6.105.141	1.070.534	0.3286554	VASH1	vasohibin 1
GI_20127557-S	1.40e-08	2.63e-09	-6.104.971	1.070.441	-0.3018052	CHMP5	charged multivesicular body protein 5
GI_42476215-S	1.41e-08	2.64e-09	-6.103.992	1.069.903	-0.3276524	C11orf74	chromosome 11 open reading frame 74
GI_21071005-S	1.41e-08	2.66e-09	6.102.996	1.069.356	0.2957694	TSSC4	tumor suppressing subtransferable candidate 4
GI_22538463-S	1.43e-08	2.68e-09	-6.101.465	1.068.515	-0.2183632	PSMB2	proteasome subunit beta 2
GI_23097278-S	1.44e-08	2.70e-09	6.100.091	106.776	0.2971053		
GI_5453759-S	1.44e-08	2.71e-09	-6.099.481	1.067.426	-0.1526814	NEDD8	neural precursor cell expressed, developmentally down-regulated 8
GI_34335235-S	1.44e-08	2.72e-09	-6.099.108	1.067.221	-0.4742775	CPLX1	complexin 1
GI_4758173-S	1.46e-08	2.74e-09	6.097.418	1.066.293	0.2972611	DMPK	dystrophia myotonica protein kinase
GI_37552339-S	1.46e-08	2.76e-09	6.096.522	1.065.801	0.2747432	KDM4B	lysine demethylase 4B
GI_21166354-S	1.46e-08	2.76e-09	6.096.452	1.065.762	0.2730897	YTHDC1	YTH domain containing 1
GI_6031195-S	1.47e-08	2.78e-09	6.094.805	1.064.859	0.3345481	PLAGL2	PLAG1 like zinc finger 2
GI_20149519-S	1.51e-08	2.84e-09	6.090.953	1.062.745	0.2844914	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3
GI_21071025-S	1.53e-08	2.90e-09	6.087.611	1.060.913	0.5259339	HIST1H1C	histone cluster 1, H1c
